step,high_limit,low_limit
0.1,3.14159,-3.14159
0.1,1.5,-1.5
0.1,3.14159,-3.14159
0.1,0,-2.8
0.1,3.14159,-3.14159
0.1,3.5,-1
0.1,1,-1
10,255,0
