step,high_limit,low_limit
0.1,3.05433,-3.05433
0.1,3.14159,0
0.1,2.35619,0.0
0.1,1.5708,-1.5708
0.1,1.5708,-1.5708
0.1,3.14159,-3.14159
10,0.044,0 
10,0.044,0
